timestamp,time,x,y,z,alpha,beta,gamma
1615822151108,6900865.6000000015,-6.1000000000000005,2.1,5.0,-46.50000000000001,11.3,5.8
1615822151125,6900882.199999996,-6.300000000000002,1.4,9.0,-54.1,7.8,2.0
1615822151141,6900898.899999998,-6.4,0.4,9.5,-23.6,-8.2,-2.2
1615822151158,6900915.599999998,-6.6000000000000005,0.2,8.0,10.8,1.3,-2.8
1615822151175,6900932.799999999,-6.6000000000000005,0.5,7.7,28.500000000000004,5.7,-0.4
1615822151191,6900948.8999999985,-6.7,1.0,6.6000000000000005,20.7,-1.7,0.7
1615822151208,6900965.800000003,-6.7,1.3,5.6000000000000005,1.5,1.6,0.2
1615822151225,6900982.200000002,-6.6000000000000005,1.1,6.6000000000000005,-11.900000000000002,5.6,0.0
1615822151241,6900998.900000002,-6.7,0.8,7.7,-11.2,3.1,0.2
1615822151258,6901016.0,-6.7,0.7000000000000001,7.9,-0.6000000000000001,1.8000000000000005,0.1
1615822151275,6901032.300000003,-6.7,1.0,6.9,6.0,1.0,0.6000000000000001
1615822151291,6901048.899999998,-6.6000000000000005,1.0,6.800000000000002,-0.1,2.1,0.7
1615822151309,6901066.900000001,-6.7,1.0,7.1000000000000005,-3.3000000000000007,3.0,0.7
1615822151325,6901082.899999998,-6.7,0.9,7.4,-1.8000000000000005,3.0,0.30000000000000004
1615822151342,6901099.899999998,-6.7,0.9,7.300000000000002,0.9000000000000001,3.0,0.0
1615822151359,6901116.599999998,-6.7,0.9,7.2,0.9000000000000001,2.4000000000000004,0.0
1615822151375,6901132.300000002,-6.800000000000002,0.9,6.9,-0.9000000000000001,2.2,0.1
1615822151391,6901149.099999999,-6.7,1.0,7.2,-1.7,2.4000000000000004,0.5
1615822151408,6901165.599999998,-6.6000000000000005,0.9,7.1000000000000005,-1.3,1.9,-0.30000000000000004
1615822151425,6901182.199999998,-6.7,0.9,7.0,-1.0,2.8,-1.0
1615822151441,6901198.999999997,-6.800000000000002,0.9,7.0,0.4,2.8,-0.2
1615822151458,6901215.6,-6.7,1.0,6.9,0.6000000000000001,3.4,-0.1
1615822151475,6901232.200000002,-6.800000000000002,1.0,6.9,0.0,0.0,0.0
1615822151491,6901248.900000002,-6.800000000000002,0.9,6.9,-0.5,3.8,-0.2
1615822151508,6901265.499999997,-6.7,0.9,7.0,-0.7,3.0,-0.5
1615822151525,6901282.300000003,-6.800000000000002,0.9,6.9,-0.6000000000000001,2.5,-0.9000000000000001
1615822151541,6901299.000000003,-6.800000000000002,0.9,6.9,0.1,2.2,-0.9000000000000001
1615822151558,6901315.599999998,-6.800000000000002,0.9,7.0,1.0,2.4000000000000004,-0.8
1615822151575,6901332.200000001,-6.800000000000002,0.9,7.0,1.3,1.6,-0.8
1615822151591,6901348.900000001,-6.800000000000002,1.0,6.9,0.7,1.3,-0.8
1615822151608,6901365.499999996,-6.800000000000002,1.0,6.9,0.4,1.2000000000000002,-0.8
1615822151625,6901382.199999996,-6.800000000000002,1.0,6.9,0.4,0.5,-1.2000000000000002
