timestamp,time,x,y,z,alpha,beta,gamma
1615820918942,5668699.199999998,-9.4,1.2000000000000002,5.1000000000000005,-10.7,-1.9,0.7
1615820918957,5668714.299999996,-8.5,0.9,5.0,3.4,-5.6,-1.7
1615820918973,5668731.1000000015,-9.0,1.2000000000000002,3.9,6.500000000000001,-5.6,-1.7
1615820918990,5668747.599999999,-8.700000000000001,1.3,3.6,0.9000000000000001,-5.6,-0.6000000000000001
1615820919006,5668764.200000001,-8.6,1.3,4.0,-2.1,-5.300000000000002,-2.1
1615820919023,5668780.799999998,-8.8,1.2000000000000002,4.3,0.0,0.0,0.0
1615820919040,5668797.6000000015,-8.8,1.2000000000000002,4.2,1.9,-3.8,-1.7
1615820919057,5668814.199999997,-8.8,1.3,4.1000000000000005,1.2000000000000002,-4.300000000000002,-1.1
1615820919073,5668830.8,-8.8,1.3,4.1000000000000005,-0.1,-4.9,-0.7
1615820919090,5668847.599999998,-8.8,1.2000000000000002,4.2,-0.7,-5.0,-0.4
1615820919107,5668864.2,-8.700000000000001,1.2000000000000002,4.2,-0.8,-4.9,-0.2
1615820919123,5668880.9,-8.700000000000001,1.1,4.2,-0.8,-4.5,-0.2
1615820919140,5668897.500000003,-8.700000000000001,1.1,4.2,-0.9000000000000001,-3.9,-0.1
1615820919156,5668914.099999998,-8.700000000000001,1.1,4.2,-1.4,-3.2,0.0
1615820919173,5668930.899999997,-8.6,1.1,4.3,-1.7,-2.7,-0.1
1615820919190,5668947.499999997,-8.6,1.1,4.3,-1.7,-2.3,-0.6000000000000001
1615820919207,5668964.499999997,-8.700000000000001,1.1,4.3,-1.5,-2.0,-0.8
1615820919223,5668980.8999999985,-8.700000000000001,1.1,4.3,-1.4,-1.4,-0.7
1615820919240,5668997.500000001,-8.700000000000001,1.1,4.4,-1.6,-0.9000000000000001,-0.4
1615820919256,5669014.200000001,-8.6,1.0,4.3,-1.5,-0.5,-0.6000000000000001
1615820919273,5669030.799999998,-8.6,1.1,4.3,-1.6,-0.7,-0.7
