timestamp,time,x,y,z,alpha,beta,gamma
1615823052136,7801893.200000002,-7.0,1.0,8.8,-18.700000000000006,0.30000000000000004,-1.4
1615823052152,7801910.0,-7.0,0.1,7.7,5.1000000000000005,-6.300000000000002,-4.6
1615823052169,7801926.600000002,-7.5,0.2,6.4,11.1,-1.7,-2.1
1615823052186,7801943.300000003,-7.4,0.6000000000000001,6.2,2.0,-3.2,2.9
1615823052202,7801959.899999998,-7.1000000000000005,0.7000000000000001,6.9,-5.500000000000001,-4.1,2.5
1615823052219,7801976.599999998,-7.2,0.5,6.7,2.1,-2.8,0.8
1615823052236,7801993.200000001,-7.300000000000002,0.4,6.4,1.6,-3.8,1.5
1615823052252,7802009.999999997,-7.2,0.4,6.5,-1.1,-3.9,2.5
1615823052269,7802026.6000000015,-6.9,0.4,6.800000000000002,-1.3,-3.1,2.1
1615823052285,7802043.199999996,-6.800000000000002,0.4,6.9,0.4,-3.3000000000000007,1.0
1615823052302,7802059.899999998,-6.800000000000002,0.4,6.800000000000002,1.3,-2.4000000000000004,-0.2
1615823052319,7802076.599999998,-6.9,0.5,6.800000000000002,1.3,-2.4000000000000004,-0.7
1615823052336,7802093.299999998,-7.0,0.6000000000000001,7.0,2.0,-1.0,-0.9000000000000001
1615823052352,7802109.8999999985,-7.0,0.6000000000000001,7.2,3.5,-0.1,-0.9000000000000001
1615823052369,7802126.6,-7.0,0.6000000000000001,7.0,3.7000000000000006,-2.8,-0.8
1615823052386,7802143.3,-6.6000000000000005,0.5,6.800000000000002,1.6,-2.5,-1.2000000000000002
1615823052402,7802159.900000002,-6.300000000000002,0.5,6.9,0.30000000000000004,-0.4,-2.7
1615823052419,7802176.600000002,-6.4,0.7000000000000001,7.0,2.0,2.0,-5.0
1615823052436,7802193.300000003,-6.9,0.9,7.0,4.4,3.6000000000000005,-5.4
1615823052452,7802209.899999998,-7.2,0.9,6.7,2.6,2.9,-3.8
1615823052469,7802226.599999998,-7.2,0.9,6.6000000000000005,-0.8,2.6,-1.5
1615823052486,7802243.200000001,-7.1000000000000005,0.7000000000000001,6.6000000000000005,-2.2,3.7000000000000006,-0.1
1615823052502,7802259.900000001,-7.1000000000000005,0.5,6.6000000000000005,-2.5,5.0,0.4
1615823052519,7802276.6000000015,-7.300000000000002,0.5,6.5,-2.4000000000000004,5.6,1.4
1615823052536,7802293.199999996,-7.4,0.4,6.4,-2.6,4.5,2.2
1615823052552,7802309.899999998,-7.300000000000002,0.4,6.4,-3.1,3.0,1.7
1615823052569,7802326.599999998,-7.2,0.4,6.5,-2.2,1.4,0.9000000000000001
1615823052586,7802343.299999998,-7.1000000000000005,0.4,6.6000000000000005,-0.7,0.2,0.1
1615823052602,7802359.8999999985,-6.800000000000002,0.5,6.6000000000000005,-0.1,-0.2,-0.7
1615823052619,7802376.6,-6.800000000000002,0.6000000000000001,6.800000000000002,0.7,1.2000000000000002,-3.2
1615823052636,7802393.200000002,-6.9,0.6000000000000001,6.9,1.6,2.0,-3.8
1615823052652,7802410.0,-7.0,0.6000000000000001,7.0,2.6,1.2000000000000002,-3.7000000000000006
1615823052669,7802426.600000002,-7.1000000000000005,0.7000000000000001,6.9,3.3000000000000007,1.6,-3.0
1615823052686,7802443.300000003,-7.300000000000002,0.7000000000000001,6.800000000000002,3.3000000000000007,1.6,-1.4
1615823052702,7802459.899999998,-7.300000000000002,0.7000000000000001,6.6000000000000005,2.2,2.0,0.30000000000000004
1615823052719,7802476.599999998,-7.2,0.6000000000000001,6.6000000000000005,0.8,3.0,1.9
1615823052736,7802493.200000001,-7.300000000000002,0.5,6.7,0.30000000000000004,2.8,3.2
1615823052752,7802509.999999997,-7.2,0.5,6.7,1.1,1.5,3.6000000000000005
1615823052769,7802526.6000000015,-7.1000000000000005,0.5,6.7,2.6,2.3,3.5
1615823052786,7802543.199999996,-7.0,0.4,6.800000000000002,4.300000000000002,4.4,4.4
1615823052802,7802559.899999998,-7.0,0.4,6.6000000000000005,6.0,6.600000000000001,5.300000000000002
1615823052819,7802576.599999998,-6.9,0.5,6.800000000000002,7.8,9.7,4.9
1615823052836,7802593.299999998,-6.800000000000002,0.4,6.800000000000002,8.0,12.0,3.2
1615823052852,7802609.8999999985,-6.800000000000002,0.2,6.6000000000000005,5.8,14.6,2.0
1615823052869,7802626.500000003,-7.1000000000000005,0.30000000000000004,6.9,5.0,16.3,2.4000000000000004
1615823052885,7802643.200000002,-7.300000000000002,0.6000000000000001,7.0,8.3,14.300000000000002,1.2000000000000002
1615823052902,7802659.900000002,-7.6,0.8,6.7,11.2,11.900000000000002,-1.6
1615823052919,7802676.600000002,-7.800000000000002,0.9,6.5,9.4,8.5,-3.2
1615823052936,7802693.199999997,-8.0,0.9,6.4,6.0,4.300000000000002,-3.6000000000000005
1615823052952,7802709.899999998,-8.0,0.9,6.300000000000002,4.5,-0.9000000000000001,-3.4
1615823052969,7802726.500000001,-7.5,0.8,6.5,4.9,-2.6,-3.2
1615823052986,7802743.200000001,-7.0,0.7000000000000001,6.5,6.699999999999998,-4.300000000000002,-2.1
1615823053002,7802759.900000001,-7.0,0.9,6.1000000000000005,9.4,-0.9000000000000001,1.7
