timestamp,time,x,y,z,alpha,beta,gamma
1615820385287,5135044.5,-8.700000000000001,0.9,4.7,2.9,1.1,-0.9000000000000001
1615820385303,5135060.999999998,-8.8,0.9,4.4,2.5,-2.5,-0.8
1615820385320,5135077.6000000015,-8.700000000000001,1.0,4.6000000000000005,2.5,-4.0,-0.8
1615820385337,5135094.300000002,-8.700000000000001,1.1,4.4,4.0,-2.0,-0.2
1615820385353,5135111.000000001,-8.6,1.1,4.1000000000000005,1.5,0.6000000000000001,0.4
1615820385370,5135127.599999996,-8.5,1.1,4.4,-0.7,-1.3,0.0
1615820385387,5135144.199999998,-8.700000000000001,1.1,4.5,0.6000000000000001,1.6,0.1
1615820385403,5135160.899999999,-8.9,1.1,4.4,1.0,-0.2,0.30000000000000004
1615820385420,5135177.699999996,-8.8,1.0,4.4,0.2,-1.6,1.0
1615820385437,5135194.299999999,-8.6,1.0,4.3,-0.1,-1.7,1.5
1615820385453,5135210.900000002,-8.6,0.9,4.3,-0.4,-1.1,1.3
1615820385470,5135227.6000000015,-8.5,0.9,4.3,-1.0,-0.1,0.8
1615820385487,5135244.300000002,-8.5,0.9,4.3,-1.4,0.4,0.4
1615820385503,5135260.8,-8.6,0.9,4.4,-1.2000000000000002,1.0,0.0
1615820385520,5135277.599999998,-8.700000000000001,0.9,4.5,-0.4,1.2000000000000002,-0.1
1615820385537,5135294.2,-8.700000000000001,0.9,4.5,-0.1,1.8000000000000005,-0.2
1615820385553,5135310.9,-8.700000000000001,1.0,4.5,-0.2,2.4000000000000004,-0.1
1615820385570,5135327.699999998,-8.700000000000001,1.0,4.5,-0.9000000000000001,1.4,-0.1
1615820385587,5135344.300000002,-8.8,1.0,4.5,-1.1,-0.9000000000000001,-0.4
1615820385603,5135360.899999997,-8.700000000000001,1.0,4.5,-0.6000000000000001,-1.3,-0.30000000000000004
1615820385620,5135377.599999996,-8.700000000000001,1.0,4.4,-0.5,-0.8,-0.2
1615820385637,5135394.299999996,-8.6,1.0,4.4,-0.5,-0.5,-0.4
