1615823440514,sensorDisconnected,number,0
1615823444509,sensorDisconnected,number,0
1615823444550,sensorDisconnected,number,0
1615823449251,sensorConnected,number,0
1615823450193,force,value,1734,timestamp,1615823450188
1615823450196,force,value,1725,timestamp,1615823450288
1615823450197,force,value,1720,timestamp,1615823450388
1615823450198,force,value,1718,timestamp,1615823450488
1615823450199,force,value,1717,timestamp,1615823450588
1615823450200,force,value,1719,timestamp,1615823450688
1615823450201,force,value,1721,timestamp,1615823450788
1615823450739,force,value,1723,timestamp,1615823450888
1615823450741,force,value,1708,timestamp,1615823450988
1615823450743,force,value,1747,timestamp,1615823451088
1615823450745,force,value,1754,timestamp,1615823451188
1615823450746,force,value,1751,timestamp,1615823451288
1615823450747,force,value,1748,timestamp,1615823451388
1615823450748,force,value,1746,timestamp,1615823451488
1615823451639,hrv,variability,21
1615823451641,force,value,1748,timestamp,1615823451588
1615823451643,force,value,1749,timestamp,1615823451688
1615823451645,force,value,1746,timestamp,1615823451788
1615823451646,force,value,1746,timestamp,1615823451888
1615823451647,force,value,1749,timestamp,1615823451988
1615823451648,force,value,1767,timestamp,1615823452088
1615823451649,force,value,1760,timestamp,1615823452188
1615823452140,force,value,1762,timestamp,1615823452288
1615823452142,force,value,1749,timestamp,1615823452388
1615823452144,force,value,1707,timestamp,1615823452488
1615823452147,force,value,1739,timestamp,1615823452588
1615823452149,force,value,1745,timestamp,1615823452688
1615823452151,force,value,1743,timestamp,1615823452788
1615823452153,force,value,1747,timestamp,1615823452888
1615823452288,hrv,variability,21
1615823452840,force,value,1746,timestamp,1615823452988
1615823452842,force,value,1752,timestamp,1615823453088
1615823452844,force,value,1756,timestamp,1615823453188
1615823452847,force,value,1755,timestamp,1615823453288
1615823452849,force,value,1765,timestamp,1615823453388
1615823452851,force,value,1765,timestamp,1615823453488
1615823452853,force,value,1774,timestamp,1615823453588
1615823453288,hrv,variability,21
1615823453538,force,value,1781,timestamp,1615823453688
1615823453539,force,value,1786,timestamp,1615823453788
1615823453539,force,value,1796,timestamp,1615823453888
1615823453540,force,value,1802,timestamp,1615823453988
1615823453541,force,value,1806,timestamp,1615823454088
1615823453541,force,value,1815,timestamp,1615823454188
1615823453542,force,value,1816,timestamp,1615823454288
1615823454240,force,value,1821,timestamp,1615823454388
1615823454242,force,value,1821,timestamp,1615823454488
1615823454244,force,value,1815,timestamp,1615823454588
1615823454247,force,value,1817,timestamp,1615823454688
1615823454248,force,value,1815,timestamp,1615823454788
1615823454249,force,value,1814,timestamp,1615823454888
1615823454250,force,value,1814,timestamp,1615823454988
1615823454285,hrv,variability,21
1615823454934,force,value,1814,timestamp,1615823455088
1615823454935,force,value,1809,timestamp,1615823455188
1615823454935,force,value,1804,timestamp,1615823455288
1615823454936,force,value,1804,timestamp,1615823455388
1615823454936,force,value,1806,timestamp,1615823455488
1615823454936,force,value,1807,timestamp,1615823455588
1615823454937,force,value,1812,timestamp,1615823455688
1615823455287,hrv,variability,21
1615823455634,force,value,1812,timestamp,1615823455788
1615823455635,force,value,1802,timestamp,1615823455888
1615823455636,force,value,1786,timestamp,1615823455988
1615823455636,force,value,1779,timestamp,1615823456088
1615823455636,force,value,1779,timestamp,1615823456188
1615823455637,force,value,1777,timestamp,1615823456288
1615823455637,force,value,1774,timestamp,1615823456388
1615823456591,hrv,variability,21
1615823456592,force,value,1764,timestamp,1615823456488
1615823456593,force,value,1760,timestamp,1615823456588
1615823456593,force,value,1761,timestamp,1615823456688
1615823456594,force,value,1750,timestamp,1615823456788
1615823456594,force,value,1754,timestamp,1615823456888
1615823456594,force,value,1750,timestamp,1615823456988
1615823456595,force,value,1752,timestamp,1615823457088
1615823457242,force,value,1754,timestamp,1615823457188
1615823457243,force,value,1751,timestamp,1615823457288
1615823457243,force,value,1758,timestamp,1615823457388
1615823457244,force,value,1751,timestamp,1615823457488
1615823457244,force,value,1751,timestamp,1615823457588
1615823457244,force,value,1754,timestamp,1615823457688
